id,address,suburb,region,distance_from_cbd_km,property_type,bedrooms,bathrooms,car_spots,land_size_sqm,building_area_sqm,year_built,sale_date,sale_method,price
588,161 Somerset Cl,Williamstown,Inner West,10,House,1,1,2.0,412,121.0,1980.0,2023-05-16,S,1028000.0
589,182 Victoria Ave,Richmond,Inner,3,Townhouse,2,1,1.0,298,134.0,2009.0,2023-05-16,SP,879000.0
590,54 Elm Gr,Glen Waverley,Eastern,18,Unit/Apartment,2,2,1.0,0,143.0,1907.0,2023-05-16,SA,626000.0
591,14 High St,Essendon,North West,9,House,3,3,2.0,691,147.0,1930.0,2023-05-16,S,1327000.0
592,180 Riverside Dr,Brighton,Bayside,11,House,3,3,3.0,508,162.0,1934.0,2023-05-17,S,1967000.0
593,105 Maple Ct,Box Hill,Eastern,14,House,3,3,3.0,869,143.0,1986.0,2023-05-17,S,1244000.0
594,148 Clarke St,Williamstown,Inner West,10,House,2,2,0.0,676,107.0,1975.0,2023-05-17,PI,1174000.0
595,130 Station Rd,Southbank,Inner,2,House,4,2,3.0,365,210.0,1938.0,2023-05-17,S,1325000.0
596,190 Beach Rd,Sandringham,Bayside,15,House,2,2,3.0,718,127.0,1925.0,2023-05-19,SP,1397000.0
597,75 High St,Kew,Inner East,6,House,1,1,1.0,662,96.0,1941.0,2023-05-19,S,1433000.0
598,2 Park Cres,Ringwood,Outer East,24,Townhouse,3,2,1.0,277,163.0,1912.0,2023-05-19,S,465000.0
599,127 Union St,Southbank,Inner,2,House,5,4,3.0,448,176.0,1913.0,2023-05-19,PI,1547000.0
600,112 Riverside Dr,Sunshine,Western,13,Unit/Apartment,2,2,0.0,0,146.0,1967.0,2023-05-20,SP,370000.0
601,9 Empire Ave,Sandringham,Bayside,15,Townhouse,4,4,3.0,277,179.0,1903.0,2023-05-20,SP,1171000.0
602,24 Albert Rd,Hawthorn,Inner East,6,Unit/Apartment,1,1,2.0,0,114.0,1906.0,2023-05-20,SP,823000.0
603,163 Empire Ave,Sunshine,Western,13,House,3,3,2.0,541,132.0,1915.0,2023-05-20,S,762000.0
604,150 Somerset Cl,Hawthorn,Inner East,6,House,3,2,1.0,777,152.0,1916.0,2023-05-20,SP,1661000.0
605,188 Wellington Pde,South Yarra,Inner,4,Unit/Apartment,2,2,1.0,0,108.0,1909.0,2023-05-21,SP,724000.0
606,178 Station Rd,Hawthorn,Inner East,6,Townhouse,3,2,3.0,136,160.0,1986.0,2023-05-22,S,996000.0
607,31 Station Rd,Werribee,Outer West,32,House,2,1,2.0,600,147.0,2022.0,2023-05-22,SP,587000.0
608,153 Victoria Ave,Point Cook,Outer West,24,House,2,2,3.0,304,143.0,1986.0,2023-05-22,SP,747000.0
609,159 Riverside Dr,Epping,Outer North,20,House,2,2,1.0,462,126.0,2013.0,2023-05-22,S,729000.0
610,190 Station Rd,Southbank,Inner,2,Townhouse,4,3,2.0,196,188.0,1937.0,2023-05-23,S,1019000.0
611,66 Nicholson St,Dandenong,South East,30,House,2,2,1.0,570,146.0,1954.0,2023-05-23,SP,617000.0
612,161 Bridge St,Fitzroy,Inner,3,Townhouse,2,2,2.0,142,120.0,1980.0,2023-05-23,S,811000.0
613,45 Empire Ave,Frankston,South East,41,House,2,2,1.0,748,118.0,1924.0,2023-05-24,S,624000.0
614,131 Grove St,Frankston,South East,41,House,4,4,2.0,545,210.0,2018.0,2023-05-24,S,702000.0
615,55 Station Rd,Coburg,Northern,8,Unit/Apartment,1,1,2.0,0,116.0,2021.0,2023-05-24,SP,529000.0
616,168 Wellington Pde,Brighton,Bayside,11,Townhouse,3,2,0.0,289,162.0,1940.0,2023-05-24,S,1133000.0
617,26 Nicholson St,Melbourne CBD,Inner,1,House,3,2,1.0,361,144.0,2015.0,2023-05-24,SP,1614000.0
618,48 Empire Ave,South Yarra,Inner,4,House,3,2,0.0,657,145.0,1995.0,2023-05-25,S,1529000.0
619,131 Grove St,Craigieburn,Outer North,26,Townhouse,3,3,2.0,121,128.0,1907.0,2023-05-25,SP,298000.0
620,121 Somerset Cl,Melbourne CBD,Inner,1,House,2,1,3.0,700,129.0,1964.0,2023-05-25,S,1812000.0
621,33 Beach Rd,Toorak,Inner East,5,Townhouse,2,2,1.0,196,131.0,1972.0,2023-05-25,SP,1411000.0
622,96 High St,Box Hill,Eastern,14,Unit/Apartment,2,2,0.0,0,137.0,1954.0,2023-05-25,SP,586000.0
623,107 Empire Ave,Sandringham,Bayside,15,Unit/Apartment,1,1,1.0,0,109.0,1980.0,2023-05-26,SP,733000.0
624,45 High St,Essendon,North West,9,House,3,3,0.0,835,145.0,1910.0,2023-05-26,S,1428000.0
625,126 Park Cres,Preston,Northern,9,House,3,3,0.0,454,164.0,1909.0,2023-05-26,SP,8850000.0
626,45 Ryan Ave,Frankston,South East,41,Unit/Apartment,3,3,1.0,0,171.0,2021.0,2023-05-26,S,313000.0
627,101 Empire Ave,Dandenong,South East,30,House,3,2,2.0,458,148.0,1922.0,2023-05-27,S,648000.0
628,33 Wellington Pde,Essendon,North West,9,Townhouse,1,1,2.0,265,109.0,1939.0,2023-05-27,S,706000.0
629,85 Wellington Pde,Epping,Outer North,20,Unit/Apartment,1,1,1.0,0,109.0,2020.0,2023-05-27,PI,407000.0
630,45 Maple Ct,Berwick,Outer South East,42,Unit/Apartment,2,1,0.0,0,138.0,1948.0,2023-05-27,S,300000.0
631,138 Victoria Ave,Moonee Ponds,North West,7,House,2,2,1.0,314,116.0,1937.0,2023-05-28,S,1188000.0
632,150 Union St,St Kilda,Bayside,6,House,2,2,0.0,440,118.0,1986.0,2023-05-28,SP,1080000.0
633,197 Ryan Ave,Sandringham,Bayside,15,House,2,1,0.0,515,131.0,1964.0,2023-05-29,S,1179000.0
634,174 Somerset Cl,Sandringham,Bayside,15,House,4,4,4.0,651,182.0,2012.0,2023-05-29,S,2034000.0
635,170 Clarke St,Brunswick,Northern,5,Unit/Apartment,2,1,0.0,0,141.0,1917.0,2023-05-29,S,710000.0
636,157 Park Cres,Coburg,Northern,8,House,3,3,2.0,767,168.0,2011.0,2023-05-29,SP,1269000.0
637,100 Ryan Ave,Glen Waverley,Eastern,18,Unit/Apartment,1,1,1.0,0,112.0,2001.0,2023-05-29,SP,567000.0
638,83 Cook St,Reservoir,Northern,12,Unit/Apartment,2,1,0.0,0,117.0,1901.0,2023-05-30,SP,483000.0
639,172 High St,Yarraville,Inner West,8,Unit/Apartment,3,2,1.0,0,174.0,1985.0,2023-05-30,SP,803000.0
640,189 Riverside Dr,Doncaster,Eastern,15,Unit/Apartment,1,1,0.0,0,88.0,1948.0,2023-05-30,SP,515000.0
641,133 Beach Rd,Epping,Outer North,20,House,4,4,3.0,709,187.0,1955.0,2023-05-31,S,1032000.0
642,47 Cook St,Pakenham,Outer South East,55,Unit/Apartment,1,1,3.0,0,107.0,1915.0,2023-06-01,S,180000.0
643,79 Clarke St,Ringwood,Outer East,24,House,4,4,0.0,636,173.0,1999.0,2023-06-02,S,984000.0
644,92 Victoria Ave,Williamstown,Inner West,10,House,2,2,1.0,450,116.0,1956.0,2023-06-02,S,877000.0
645,127 Riverside Dr,Sandringham,Bayside,15,Unit/Apartment,1,1,0.0,0,102.0,1931.0,2023-06-02,SP,858000.0
646,24 Church St,Box Hill,Eastern,14,Townhouse,2,1,1.0,127,133.0,,2023-06-02,S,601000.0
647,174 Empire Ave,Brunswick,Northern,5,Townhouse,2,1,2.0,174,117.0,1920.0,2023-06-03,PI,764000.0
648,164 Elm Gr,Pakenham,Outer South East,55,Townhouse,3,2,2.0,281,168.0,1975.0,2023-06-03,S,352000.0
649,115 Nicholson St,Craigieburn,Outer North,26,Unit/Apartment,3,2,0.0,0,172.0,2018.0,2023-06-03,S,317000.0
650,16 Empire Ave,Kew,Inner East,6,Unit/Apartment,1,1,3.0,0,116.0,1997.0,2023-06-03,SP,1034000.0
651,25 Park Cres,Frankston,South East,41,House,3,3,2.0,779,177.0,2016.0,2023-06-03,SP,612000.0
652,25 Park Cres,Yarraville,Inner West,8,Unit/Apartment,1,1,3.0,0,93.0,1908.0,2023-06-03,S,547000.0
653,71 Station Rd,Preston,Northern,9,Townhouse,3,3,2.0,231,145.0,1927.0,2023-06-03,SA,791000.0
654,174 Bridge St,Fitzroy,Inner,3,Unit/Apartment,1,1,0.0,0,107.0,1971.0,2023-06-03,S,668000.0
655,136 Beach Rd,Dandenong,South East,30,House,3,3,1.0,733,191.0,1939.0,2023-06-03,S,671000.0
656,114 High St,Berwick,Outer South East,42,House,2,1,2.0,400,113.0,1931.0,2023-06-04,S,498000.0
657,19 Nicholson St,Point Cook,Outer West,24,House,2,1,0.0,733,120.0,1988.0,2023-06-04,S,593000.0
658,81 Nicholson St,Malvern,Inner East,8,House,4,3,1.0,886,174.0,1968.0,2023-06-04,SP,2110000.0
659,26 Park Cres,Craigieburn,Outer North,26,House,3,3,1.0,880,127.0,2009.0,2023-06-04,S,555000.0
660,33 Beach Rd,Footscray,Inner West,6,House,2,1,1.0,476,107.0,1910.0,2023-06-05,SP,673000.0
661,27 Riverside Dr,Werribee,Outer West,32,House,2,1,1.0,712,125.0,1905.0,2023-06-05,SA,472000.0
662,22 Somerset Cl,South Yarra,Inner,4,House,4,2,2.0,455,163.0,1940.0,2023-06-05,S,1584000.0
663,96 Nicholson St,Sunshine,Western,13,Townhouse,4,2,0.0,271,172.0,2009.0,2023-06-06,S,619000.0
664,36 Church St,St Kilda,Bayside,6,House,4,4,0.0,421,166.0,1975.0,2023-06-06,S,1363000.0
665,73 Cook St,Footscray,Inner West,6,Townhouse,4,2,1.0,230,227.0,1931.0,2023-06-07,S,732000.0
666,94 Somerset Cl,Moonee Ponds,North West,7,House,2,1,1.0,591,119.0,2017.0,2023-06-08,PI,1279000.0
667,9 Park Cres,Footscray,Inner West,6,House,2,1,4.0,840,115.0,1910.0,2023-06-08,S,933000.0
668,79 Riverside Dr,Essendon,North West,9,House,3,3,0.0,641,158.0,2010.0,2023-06-08,S,1337000.0
669,31 Beach Rd,Southbank,Inner,2,House,2,2,2.0,678,147.0,1914.0,2023-06-08,S,1071000.0
670,17 Beach Rd,Toorak,Inner East,5,Townhouse,3,2,2.0,233,167.0,2003.0,2023-06-08,S,1427000.0
671,109 Maple Ct,Dandenong,South East,30,Unit/Apartment,3,2,1.0,0,147.0,1965.0,2023-06-09,S,340000.0
672,82 Station Rd,Carlton,Inner,2,Unit/Apartment,1,1,2.0,0,94.0,1981.0,2023-06-09,SP,724000.0
673,30 Nicholson St,Camberwell,Inner East,9,Unit/Apartment,1,1,0.0,0,,1934.0,2023-06-09,PI,887000.0
674,10 Clarke St,Reservoir,Northern,12,Unit/Apartment,2,1,0.0,0,114.0,2015.0,2023-06-09,SP,492000.0
675,61 Clarke St,Kew,Inner East,6,Unit/Apartment,2,2,1.0,0,131.0,2023.0,2023-06-09,VB,1101000.0
676,71 Elm Gr,Reservoir,Northern,12,House,1,1,1.0,637,110.0,1972.0,2023-06-09,VB,799000.0
677,71 Victoria Ave,Werribee,Outer West,32,House,3,3,3.0,705,155.0,1972.0,2023-06-09,S,528000.0
678,109 Albert Rd,Williamstown,Inner West,10,Townhouse,4,3,2.0,122,178.0,1976.0,2023-06-10,PI,718000.0
679,83 Ryan Ave,Pakenham,Outer South East,55,Townhouse,1,1,1.0,215,82.0,1964.0,2023-06-10,SP,311000.0
680,91 Clarke St,Werribee,Outer West,32,House,4,3,2.0,760,214.0,1990.0,2023-06-11,SP,550000.0
681,196 Nicholson St,Melbourne CBD,Inner,1,Townhouse,1,1,0.0,273,99.0,1918.0,2023-06-11,SP,852000.0
682,164 Cook St,Coburg,Northern,8,House,2,1,2.0,623,114.0,1908.0,2023-06-12,SP,861000.0
683,6 High St,Doncaster,Eastern,15,House,1,1,2.0,619,105.0,1942.0,2023-06-12,S,1129000.0
684,69 Albert Rd,Craigieburn,Outer North,26,House,3,2,1.0,429,158.0,2008.0,2023-06-13,S,670000.0
685,182 Riverside Dr,Fitzroy,Inner,3,House,2,1,1.0,463,137.0,1975.0,2023-06-13,S,1066000.0
686,29 Victoria Ave,Williamstown,Inner West,10,House,4,3,3.0,712,201.0,2021.0,2023-06-13,SP,1467000.0
687,104 Bridge St,Carlton,Inner,2,House,3,2,0.0,350,140.0,1932.0,2023-06-14,S,1404000.0
688,163 Somerset Cl,Doncaster,Eastern,15,House,2,2,0.0,307,113.0,1919.0,2023-06-14,S,1040000.0
689,89 Union St,St Kilda,Bayside,6,House,3,3,0.0,314,164.0,1964.0,2023-06-14,S,1033000.0
690,36 Elm Gr,Richmond,Inner,3,Townhouse,3,2,3.0,192,178.0,1980.0,2023-06-15,S,1154000.0
691,187 Riverside Dr,South Yarra,Inner,4,House,2,2,2.0,669,142.0,1929.0,2023-06-15,S,1624000.0
692,121 Station Rd,Berwick,Outer South East,42,Unit/Apartment,1,1,0.0,0,112.0,1977.0,2023-06-16,SP,298000.0
693,142 Clarke St,Moonee Ponds,North West,7,Townhouse,2,1,3.0,145,151.0,2006.0,2023-06-16,S,770000.0
694,4 Maple Ct,Brighton,Bayside,11,Townhouse,3,2,0.0,207,164.0,2020.0,2023-06-17,S,1224000.0
695,172 Wellington Pde,Williamstown,Inner West,10,Townhouse,3,3,3.0,298,151.0,1916.0,2023-06-17,SP,1055000.0
696,106 Bridge St,Point Cook,Outer West,24,Townhouse,3,2,1.0,292,128.0,1914.0,2023-06-17,S,668000.0
697,133 Cook St,Richmond,Inner,3,Unit/Apartment,1,1,4.0,0,92.0,1970.0,2023-06-17,SP,755000.0
698,137 Somerset Cl,Hawthorn,Inner East,6,House,2,1,1.0,783,128.0,1909.0,2023-06-19,S,1531000.0
699,181 Grove St,Box Hill,Eastern,14,House,3,3,0.0,495,146.0,1913.0,2023-06-19,S,981000.0
700,140 Clarke St,Craigieburn,Outer North,26,House,2,1,2.0,665,124.0,2013.0,2023-06-19,SP,525000.0
701,144 Union St,Brunswick,Northern,5,House,2,2,1.0,465,120.0,1954.0,2023-06-19,S,1257000.0
702,110 Church St,Werribee,Outer West,32,Townhouse,2,2,0.0,278,145.0,,2023-06-19,PI,305000.0
703,137 Station Rd,Essendon,North West,9,Unit/Apartment,1,1,2.0,0,94.0,2009.0,2023-06-19,S,723000.0
704,34 Ryan Ave,Point Cook,Outer West,24,Townhouse,1,1,1.0,178,103.0,2016.0,2023-06-20,VB,399000.0
705,137 Church St,Toorak,Inner East,5,House,2,1,0.0,360,137.0,1973.0,2023-06-20,SP,1558000.0
706,190 Park Cres,St Kilda,Bayside,6,House,3,3,2.0,813,139.0,1981.0,2023-06-21,PI,1660000.0
707,8 Nicholson St,Box Hill,Eastern,14,House,2,2,2.0,581,118.0,1959.0,2023-06-21,S,859000.0
708,102 Wellington Pde,Point Cook,Outer West,24,House,2,2,3.0,742,135.0,2007.0,2023-06-21,PI,836000.0
709,4 Maple Ct,Pakenham,Outer South East,55,House,3,2,0.0,856,164.0,1925.0,2023-06-21,SP,428000.0
710,71 Ryan Ave,Sunshine,Western,13,Unit/Apartment,3,2,2.0,0,161.0,1916.0,2023-06-21,SP,470000.0
711,137 Riverside Dr,Craigieburn,Outer North,26,Unit/Apartment,1,1,1.0,0,104.0,1918.0,2023-06-22,S,285000.0
712,146 Union St,Frankston,South East,41,House,3,3,2.0,828,152.0,2013.0,2023-06-22,S,784000.0
713,127 Clarke St,Southbank,Inner,2,Unit/Apartment,5,4,0.0,0,195.0,1974.0,2023-06-22,S,758000.0
714,68 Empire Ave,Sandringham,Bayside,15,House,2,1,1.0,700,114.0,1962.0,2023-06-22,PI,1458000.0
715,14 Union St,Brunswick,Northern,5,Townhouse,3,2,0.0,219,132.0,1986.0,2023-06-22,SP,583000.0
716,148 Nicholson St,Berwick,Outer South East,42,Unit/Apartment,1,1,1.0,0,111.0,1954.0,2023-06-22,SP,318000.0
717,34 Cook St,Melbourne CBD,Inner,1,House,1,1,0.0,499,113.0,1958.0,2023-06-23,SP,1267000.0
718,196 Union St,Brighton,Bayside,11,House,2,1,2.0,620,143.0,1984.0,2023-06-23,SP,1580000.0
719,137 Station Rd,St Kilda,Bayside,6,House,3,2,1.0,831,159.0,1984.0,2023-06-24,SP,1256000.0
720,158 Bridge St,Kew,Inner East,6,Townhouse,3,2,2.0,196,140.0,1956.0,2023-06-24,VB,1403000.0
721,132 Wellington Pde,Footscray,Inner West,6,Unit/Apartment,2,1,2.0,0,138.0,2008.0,2023-06-24,SP,518000.0
722,159 High St,Southbank,Inner,2,House,2,2,0.0,343,111.0,1919.0,2023-06-24,SP,1129000.0
723,190 Empire Ave,Frankston,South East,41,Unit/Apartment,2,1,1.0,0,128.0,1999.0,2023-06-24,S,241000.0
724,196 Beach Rd,Melbourne CBD,Inner,1,House,2,1,1.0,556,146.0,1922.0,2023-06-25,SA,1536000.0
725,95 Station Rd,Sandringham,Bayside,15,House,3,2,2.0,873,156.0,1985.0,2023-06-25,SA,1568000.0
726,192 High St,Ringwood,Outer East,24,Townhouse,2,2,3.0,231,120.0,1997.0,2023-06-25,VB,468000.0
727,195 Ryan Ave,Kew,Inner East,6,Townhouse,3,2,1.0,183,146.0,1927.0,2023-06-25,PI,1315000.0
728,192 Elm Gr,Ringwood,Outer East,24,House,2,1,2.0,591,134.0,1936.0,2023-06-26,S,795000.0
729,175 Clarke St,Epping,Outer North,20,House,3,2,1.0,465,171.0,1949.0,2023-06-27,SP,647000.0
730,104 Park Cres,Doncaster,Eastern,15,House,2,1,0.0,499,122.0,2002.0,2023-06-27,S,1213000.0
731,8 Park Cres,Epping,Outer North,20,Unit/Apartment,2,1,0.0,0,145.0,1913.0,2023-06-27,S,326000.0
732,89 Clarke St,Southbank,Inner,2,Unit/Apartment,1,1,1.0,0,113.0,1908.0,2023-06-27,S,574000.0
733,133 Somerset Cl,Hawthorn,Inner East,6,House,2,1,2.0,678,113.0,1905.0,2023-06-28,S,1866000.0
734,110 Nicholson St,Berwick,Outer South East,42,House,1,1,1.0,410,121.0,2016.0,2023-06-28,SP,417000.0
735,164 Grove St,Brighton,Bayside,11,House,2,2,0.0,353,138.0,1980.0,2023-06-28,S,1819000.0
736,141 Church St,Coburg,Northern,8,House,3,2,1.0,647,138.0,1998.0,2023-06-28,S,1143000.0
737,185 Grove St,Essendon,North West,9,House,2,2,4.0,387,121.0,1957.0,2023-06-29,S,1150000.0
738,74 Ryan Ave,Craigieburn,Outer North,26,Townhouse,1,1,0.0,208,122.0,1965.0,2023-06-29,S,327000.0
739,62 Clarke St,Werribee,Outer West,32,House,4,3,1.0,812,181.0,1912.0,2023-06-29,S,576000.0
740,87 Elm Gr,Essendon,North West,9,Townhouse,2,2,1.0,258,131.0,1901.0,2023-06-29,S,841000.0
741,116 Beach Rd,Malvern,Inner East,8,Unit/Apartment,2,1,0.0,0,150.0,1912.0,2023-06-30,VB,758000.0
742,129 Beach Rd,Richmond,Inner,3,Unit/Apartment,1,1,1.0,0,102.0,1967.0,2023-06-30,S,549000.0
743,100 Station Rd,Brunswick,Northern,5,Townhouse,2,1,1.0,179,117.0,1999.0,2023-06-30,S,722000.0
744,81 Somerset Cl,Carlton,Inner,2,House,2,1,1.0,624,139.0,1972.0,2023-06-30,S,1149000.0
745,138 Empire Ave,Fitzroy,Inner,3,House,4,2,1.0,374,177.0,1988.0,2023-06-30,SP,1210000.0
746,197 Station Rd,Footscray,Inner West,6,Townhouse,3,3,1.0,155,165.0,1925.0,2023-06-30,S,707000.0
747,94 Ryan Ave,Werribee,Outer West,32,Townhouse,3,2,2.0,245,153.0,2001.0,2023-06-30,S,497000.0
748,135 High St,Fitzroy,Inner,3,House,3,2,2.0,527,152.0,1994.0,2023-06-30,S,1563000.0
749,76 High St,Doncaster,Eastern,15,Townhouse,4,2,1.0,260,183.0,2016.0,2023-07-01,S,1013000.0
750,35 High St,Carlton,Inner,2,House,2,1,1.0,488,121.0,2007.0,2023-07-01,SA,1290000.0
751,136 High St,Yarraville,Inner West,8,Townhouse,3,2,4.0,178,150.0,1943.0,2023-07-01,S,767000.0
752,190 Albert Rd,Camberwell,Inner East,9,Townhouse,3,2,1.0,175,153.0,1928.0,2023-07-01,S,1260000.0
753,18 Riverside Dr,Frankston,South East,41,House,3,2,2.0,715,147.0,2014.0,2023-07-01,S,786000.0
754,144 Ryan Ave,Brighton,Bayside,11,Townhouse,2,1,0.0,226,120.0,1927.0,2023-07-02,SA,1281000.0
755,77 Wellington Pde,Footscray,Inner West,6,Unit/Apartment,1,1,1.0,0,100.0,1940.0,2023-07-03,S,507000.0
756,98 Union St,Craigieburn,Outer North,26,House,3,2,1.0,703,167.0,1975.0,2023-07-03,VB,619000.0
757,196 Albert Rd,Melbourne CBD,Inner,1,House,4,3,4.0,309,192.0,1994.0,2023-07-04,SP,1532000.0
758,199 Somerset Cl,Pakenham,Outer South East,55,Unit/Apartment,2,2,0.0,0,122.0,1954.0,2023-07-04,SP,207000.0
759,25 Cook St,Preston,Northern,9,Townhouse,2,2,0.0,191,140.0,2008.0,2023-07-04,SP,632000.0
760,15 Wellington Pde,Sunshine,Western,13,House,3,2,1.0,370,145.0,1907.0,2023-07-04,VB,809000.0
761,108 Victoria Ave,Yarraville,Inner West,8,House,4,4,2.0,528,207.0,1908.0,2023-07-04,S,1099000.0
762,152 Nicholson St,Brighton,Bayside,11,Townhouse,1,1,1.0,134,111.0,1945.0,2023-07-05,PI,1160000.0
763,194 Station Rd,Melbourne CBD,Inner,1,Townhouse,3,3,1.0,289,168.0,2019.0,2023-07-05,S,1232000.0
764,97 Riverside Dr,Brighton,Bayside,11,Unit/Apartment,3,2,2.0,0,172.0,1962.0,2023-07-06,S,1124000.0
765,7 Clarke St,Reservoir,Northern,12,Unit/Apartment,2,2,2.0,0,117.0,1942.0,2023-07-06,S,560000.0
766,34 Cook St,Coburg,Northern,8,Unit/Apartment,1,1,2.0,0,111.0,1942.0,2023-07-06,S,456000.0
767,110 Somerset Cl,Craigieburn,Outer North,26,Unit/Apartment,4,3,0.0,0,172.0,1912.0,2023-07-07,SA,317000.0
768,141 Somerset Cl,South Yarra,Inner,4,House,2,2,1.0,584,126.0,1959.0,2023-07-07,S,1649000.0
769,162 Grove St,Point Cook,Outer West,24,House,3,3,2.0,751,184.0,1911.0,2023-07-07,S,847000.0
770,76 Bridge St,Melbourne CBD,Inner,1,House,2,2,2.0,856,139.0,1949.0,2023-07-08,SP,1903000.0
771,43 Albert Rd,Richmond,Inner,3,House,2,2,1.0,486,123.0,1969.0,2023-07-08,SP,1284000.0
772,82 Clarke St,Pakenham,Outer South East,55,House,4,4,2.0,889,209.0,1964.0,2023-07-08,S,432000.0
773,116 Elm Gr,Fitzroy,Inner,3,Unit/Apartment,2,1,2.0,0,139.0,1966.0,2023-07-09,S,930000.0
774,127 Clarke St,Camberwell,Inner East,9,Townhouse,1,1,0.0,263,92.0,2020.0,2023-07-09,S,771000.0
775,73 Elm Gr,Malvern,Inner East,8,House,2,1,,847,121.0,1965.0,2023-07-09,S,1603000.0
776,25 Riverside Dr,Reservoir,Northern,12,House,2,1,1.0,702,155.0,2014.0,2023-07-10,SP,740000.0
777,176 Beach Rd,Footscray,Inner West,6,Townhouse,2,2,3.0,262,128.0,1926.0,2023-07-10,S,692000.0
778,66 Clarke St,Dandenong,South East,30,Unit/Apartment,2,1,0.0,0,109.0,1947.0,2023-07-11,S,278000.0
779,64 Clarke St,Southbank,Inner,2,Unit/Apartment,4,4,2.0,0,214.0,2020.0,2023-07-11,S,909000.0
780,181 Church St,Berwick,Outer South East,42,Unit/Apartment,1,1,0.0,0,107.0,1921.0,2023-07-11,S,349000.0
781,49 Station Rd,Moonee Ponds,North West,7,Unit/Apartment,1,1,0.0,0,97.0,1910.0,2023-07-11,SP,665000.0
782,34 Bridge St,Epping,Outer North,20,Unit/Apartment,2,2,0.0,0,,1986.0,2023-07-11,PI,361000.0
783,179 Cook St,Carlton,Inner,2,House,1,1,3.0,639,96.0,1937.0,2023-07-11,S,1048000.0
784,146 Empire Ave,Melbourne CBD,Inner,1,House,3,3,4.0,868,171.0,1912.0,2023-07-12,S,2154000.0
785,96 Nicholson St,Footscray,Inner West,6,House,2,2,0.0,347,127.0,2020.0,2023-07-12,SA,899000.0
786,40 Bridge St,Epping,Outer North,20,Unit/Apartment,3,3,2.0,0,167.0,1931.0,2023-07-13,S,401000.0
787,118 Riverside Dr,Southbank,Inner,2,House,3,3,1.0,528,172.0,2016.0,2023-07-13,SP,1199000.0
788,195 Somerset Cl,Melbourne CBD,Inner,1,House,1,1,1.0,788,123.0,2023.0,2023-07-14,S,1810000.0
789,100 Empire Ave,Yarraville,Inner West,8,House,3,2,3.0,596,139.0,1946.0,2023-07-14,S,1095000.0
790,11 Victoria Ave,Camberwell,Inner East,9,Townhouse,3,3,2.0,120,164.0,1915.0,2023-07-14,SP,921000.0
791,85 Grove St,Coburg,Northern,8,Townhouse,2,2,0.0,138,101.0,1974.0,2023-07-14,S,628000.0
792,40 Ryan Ave,South Yarra,Inner,4,Unit/Apartment,1,1,4.0,0,102.0,1980.0,2023-07-14,SP,691000.0
793,169 Riverside Dr,Doncaster,Eastern,15,Townhouse,2,1,0.0,166,132.0,1946.0,2023-07-15,S,720000.0
794,27 Empire Ave,Brighton,Bayside,11,House,4,3,0.0,534,204.0,1924.0,2023-07-15,PI,1948000.0
795,107 High St,Hawthorn,Inner East,6,House,4,3,0.0,877,227.0,1901.0,2023-07-15,SP,2086000.0
796,166 Union St,Preston,Northern,9,Townhouse,4,3,2.0,196,179.0,1985.0,2023-07-15,SP,814000.0
797,43 Somerset Cl,Sandringham,Bayside,15,House,1,1,1.0,848,92.0,1985.0,2023-07-15,S,1373000.0
798,60 Nicholson St,Sunshine,Western,13,House,1,1,1.0,533,99.0,2012.0,2023-07-15,SP,529000.0
799,16 Victoria Ave,Glen Waverley,Eastern,18,Unit/Apartment,1,1,2.0,0,115.0,1949.0,2023-07-16,S,519000.0
800,39 Beach Rd,Fitzroy,Inner,3,Townhouse,2,1,3.0,271,143.0,1970.0,2023-07-16,S,810000.0
801,182 Empire Ave,Box Hill,Eastern,14,House,3,2,1.0,789,171.0,1956.0,2023-07-17,S,1140000.0
802,68 Victoria Ave,St Kilda,Bayside,6,House,1,1,3.0,761,95.0,1991.0,2023-07-17,SP,1246000.0
803,118 Union St,Footscray,Inner West,6,Townhouse,3,2,0.0,272,141.0,1973.0,2023-07-17,PI,870000.0
804,163 Somerset Cl,Brunswick,Northern,5,Townhouse,2,1,4.0,201,130.0,1906.0,2023-07-17,S,732000.0
805,129 Clarke St,Werribee,Outer West,32,Townhouse,2,1,1.0,199,131.0,1969.0,2023-07-17,S,327000.0
806,20 Empire Ave,Moonee Ponds,North West,7,House,3,2,1.0,703,154.0,1900.0,2023-07-17,S,1631000.0
807,182 Park Cres,Werribee,Outer West,32,Unit/Apartment,3,2,1.0,0,155.0,1960.0,2023-07-17,S,333000.0
808,22 Victoria Ave,Kew,Inner East,6,House,2,2,1.0,405,116.0,1927.0,2023-07-17,SP,1734000.0
809,129 Grove St,Brunswick,Northern,5,House,2,2,0.0,804,124.0,1945.0,2023-07-18,S,1596000.0
810,71 Riverside Dr,Malvern,Inner East,8,House,3,3,2.0,599,126.0,1956.0,2023-07-18,S,1812000.0
811,130 Clarke St,Richmond,Inner,3,House,1,1,1.0,509,95.0,1991.0,2023-07-18,SP,1294000.0
812,147 Church St,Frankston,South East,41,Townhouse,4,4,2.0,149,195.0,2005.0,2023-07-18,S,612000.0
813,98 Cook St,Toorak,Inner East,5,House,1,1,1.0,350,105.0,2021.0,2023-07-18,SP,1325000.0
814,168 High St,Brighton,Bayside,11,Townhouse,2,2,0.0,254,134.0,2006.0,2023-07-18,S,1349000.0
